Sample in Buffer,Sample in Window,TRIGGER,design_1_i/top_0/inst/PC[31:0],design_1_i/top_0/inst/writeDataM[31:0],design_1_i/top_0/inst/Instr[31:0],design_1_i/top_0/inst/addressM[31:0],design_1_i/top_0/inst/readDataM[31:0],design_1_i/top_0/inst/reset
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,00000000,10400e93,00000104,00000000,1
1,1,0,00000000,00000000,10400e93,00000104,00000000,1
2,2,0,00000000,00000000,10400e93,00000104,00000000,1
3,3,0,00000000,00000000,10400e93,00000104,00000000,1
4,4,0,00000000,00000000,10400e93,00000104,00000000,1
5,5,0,00000000,00000000,10400e93,00000104,00000000,1
6,6,0,00000000,00000000,10400e93,00000104,00000000,1
7,7,0,00000000,00000000,10400e93,00000104,00000000,1
8,8,0,00000000,00000000,10400e93,00000104,00000000,1
9,9,0,00000000,00000000,10400e93,00000104,00000000,1
10,10,0,00000000,00000000,10400e93,00000104,00000000,1
11,11,0,00000000,00000000,10400e93,00000104,00000000,1
12,12,0,00000000,00000000,10400e93,00000104,00000000,1
13,13,0,00000000,00000000,10400e93,00000104,00000000,1
14,14,0,00000000,00000000,10400e93,00000104,00000000,1
15,15,0,00000000,00000000,10400e93,00000104,00000000,1
16,16,0,00000000,00000000,10400e93,00000104,00000000,1
17,17,0,00000000,00000000,10400e93,00000104,00000000,1
18,18,0,00000000,00000000,10400e93,00000104,00000000,1
19,19,0,00000000,00000000,10400e93,00000104,00000000,1
20,20,0,00000000,00000000,10400e93,00000104,00000000,1
21,21,0,00000000,00000000,10400e93,00000104,00000000,1
22,22,0,00000000,00000000,10400e93,00000104,00000000,1
23,23,0,00000000,00000000,10400e93,00000104,00000000,1
24,24,0,00000000,00000000,10400e93,00000104,00000000,1
25,25,0,00000000,00000000,10400e93,00000104,00000000,1
26,26,0,00000000,00000000,10400e93,00000104,00000000,1
27,27,0,00000000,00000000,10400e93,00000104,00000000,1
28,28,0,00000000,00000000,10400e93,00000104,00000000,1
29,29,0,00000000,00000000,10400e93,00000104,00000000,1
30,30,0,00000000,00000000,10400e93,00000104,00000000,1
31,31,0,00000000,00000000,10400e93,00000104,00000000,1
32,32,0,00000000,00000000,10400e93,00000104,00000000,1
33,33,0,00000000,00000000,10400e93,00000104,00000000,1
